id,company_id,project_name,project_type,budget_amount,is_digital,bid_date,source_url,source_name,crawled_at
1105,,武汉市二桥中学武汉市二桥中学AI数智教育教学设备公开招标公告_招...,公开招标,,t,,https://www.sogou.com/link?url=DSOYnZeCC_o7z6Cm7vIeAjY_dy32OsTcf8PAf4vgj5VdgEVPbm6eqK3mlRzfPLR2,websearch_sogou,2026-08-20 17:58:55.560267
1106,,2024年度:武汉人工智能研究院云服务入围单位招标公告_项目_投标...,公开招标,,t,,https://www.sogou.com/link?url=hedJjaC291Ok-E9WTygIKtXlE0qcN_CeVU9Y1afpC7-H-EFNO0ZfarkvpJ1qv9AV,websearch_sogou,2026-08-20 17:58:55.560267
1107,,链企ai招标下载,公开招标,,f,,https://www.sogou.com?user_ip=113&bh=1&hintidx=0&query=%E9%93%BE%E4%BC%81ai%E6%8B%9B%E6%A0%87%E4%B8%8B%E8%BD%BD&w=01020600&num=4&sessiontime=1787219935582&interation=&interV=kKIOkrELjbkRmLkElbkTkKIMkrELjboImLkEk74TkKIRmLkEk78TkKILkY==_-115092183&htdbg=on&ie=utf8&s_from=hint_middle,websearch_sogou,2026-08-20 17:58:55.560267
1108,,中国湖北政府采购网,政府采购,,f,,https://www.sogou.com/link?url=DSOYnZeCC_r5NvSZcmI1aOlhHoR6dOYAusVmnqitfqhN7j64M-4dlQ..,websearch_sogou,2026-08-20 17:58:55.560267
1109,,武汉采购网官网入口,政府采购,,f,,https://www.sogou.com?user_ip=113&bh=1&hintidx=0&query=%E6%AD%A6%E6%B1%89%E9%87%87%E8%B4%AD%E7%BD%91%E5%AE%98%E7%BD%91%E5%85%A5%E5%8F%A3&w=01020600&num=4&sessiontime=1787219968392&interation=&interV=kKIOkrELjbkRmLkElbkTkKIMkrELjboImLkEk74TkKIRmLkEk78TkKILkY==_-115092183&htdbg=on&ie=utf8&s_from=hint_middle,websearch_sogou,2026-08-20 17:58:55.560267
1110,,欢迎来到中国湖北政府采购网,政府采购,,f,,https://www.sogou.com/link?url=DSOYnZeCC_r5NvSZcmI1aOlhHoR6dOYAGXlEqmqmOznytPoh9r--jgQReG3LYnroOPM5pOYD4iLGL56WXZoFZYdb-svfcOdTri2jTBr9OJ8.,websearch_sogou,2026-08-20 17:58:55.560267
1111,,湖北省政府采购网,政府采购,,f,,https://www.sogou.com/link?url=DSOYnZeCC_r5NvSZcmI1aOlhHoR6dOYAGXlEqmqmOznytPoh9r--jgQReG3LYnro3XQxKtTYfbjO6UA4iwnk2A..,websearch_sogou,2026-08-20 17:58:55.560267
1112,,武汉政务云中标结果-政务云招标采购-采招网,公开招标,,t,2025-12-25,https://www.so.com/link?m=uyxQCkhiIfwSip0pYVODsBDqFTdQbmI1Cue4afebO7bXKee1X6w8PblA8LoC0cy%2FP4Sq%2BkN414AVlsguTFtjhGvAWtO26i%2BCpDpDbLsIYhSbBg99EKG0sTZ5603jSwId1ChcgCvHwyWahl4LYWCn04NdaxwnYUsamb86XNTNjdG5VR5rvd2LRR4CWlLCjSoupV1F7dxqAopXzyvIFd1IrxynithQTafWitglEG6MEz%2FuE1a83,websearch_so360,2026-08-20 17:58:55.560267
1113,,武汉市因公出国境管理信息化平台建设武汉政务云资源服务中标结果-湖北招标网,公开招标,,t,2024-11-28,https://www.so.com/link?m=wMxYuGotAVY0F3fqbyMoRAkutziWIfYsmHjB8CwI3St8x%2Fwa192gT1qC3RAwKT7sm9bV%2Bl64KNDuSHeq8MQqs4B1R9ac7xft8p%2FAElCPz5VPSsM9TJXD5my%2FP9eT2oeQ67GGrBxOOJLfQeAAEv%2FFFf%2FYVaohWCenNnRkZsAWOZV9xBQlxxcPEpcAYp5EMV%2BD6OoUu1mJsa0hRgTJAF1W5D%2FMR1wIK0592,websearch_so360,2026-08-20 17:58:55.560267
1114,,武汉市政务云多云管理平台技术服务采购项目预成交结果公示-湖北招标网,公开招标,,f,2026-06-18,https://www.so.com/link?m=uiBQKL9CIvy%2BagUNRE3613IvR7t%2F9sfsUGvUnWd4lHORoh83lQQhAm6%2Fm7FzufxWmfiL72HlouV9MRqvvxZop4Bg6SRsWqOh2toFIRW3cK2fdYeQb2S5MxRxIiAxOfc7pZJtk0SHZjEb4RLpIc3x0BtEI0CTVWA%2BV2gD%2FubUrP5igqYFlcCWBTA5hU4WGTpND3wrgkxMNH2jJUaHh5sTwFVfm2HjWWnm8,websearch_so360,2026-08-20 17:58:55.560267
1115,,武汉市关于承揽武汉市某区政务服务中心政务信息化平台软件服务及云资源服务采购项目中标候选人公示-湖北招标网,公开招标,,t,2024-11-29,https://www.so.com/link?m=bCpzilg47MW8RTGw5YkZMDQ%2BS3%2FB0s5%2BycEkFk%2FKjmdAnptVi3gW8l57oh7HHgn%2FcLeekNCxIIIQt36Ab3rarp8B5Hey64DFZ2iqv%2Bt34CwvFFHK2pMY7YEfDpXL2fl0iW%2Br3CUEQ2tMJkwE02HuEjlTJ41w4rTJtNviMDtEpbieClziCgtd2m4Zpv2mrbaB1SOqrZfDPbnFV21qmk3MbGncQW8p4y7Ao,websearch_so360,2026-08-20 17:58:55.560267
